"Id","BIRTHDATE","DEATHDATE","SSN","DRIVERS","PASSPORT","PREFIX","FIRST","LAST","SUFFIX","MAIDEN","MARITAL","RACE","ETHNICITY","GENDER","BIRTHPLACE","ADDRESS","CITY","STATE","ZIP"
"935d9586-9a8c-de97-9359-3dd98eabcb2c",1992-11-14,NA,"999-12-4837","S99980214","X48372019X","Mrs.","Alyssa","Klein",NA,"Davis","M","white","not_hispanic_or_latino","F","Harrisburg  Pennsylvania  US","218 Market St Apt 14","Harrisburg","Pennsylvania","17101"
"3693b9d5-8b0e-2a80-2cf4-5ddad19e7c22",1988-02-03,NA,"999-44-9012","S99911482","X77284011X","Mr.","Derek","Hansen",NA,NA,"M","white","not_hispanic_or_latino","M","Erie  Pennsylvania  US","44 Westwood Dr","Erie","Pennsylvania","16501"
"9788d90a-78ac-3d7e-84d6-d7390291c431",1990-09-27,NA,"999-08-2274","S99955603","X09177462X","Ms.","Marina","Olsen",NA,NA,"S","white","not_hispanic_or_latino","F","Pittsburgh  Pennsylvania  US","590 Walnut Ave","Pittsburgh","Pennsylvania","15213"
"4cd50d11-592d-0e59-9485-64c500e338cd",1991-06-09,2014-06-12,"999-77-3451","S99923014","X55193007X","Mr.","Tyler","Reed",NA,NA,"S","white","not_hispanic_or_latino","M","Reading  Pennsylvania  US","404 Cherry Ln","Reading","Pennsylvania","19601"
"ca7f1e3f-af5f-36f9-1287-16c4c7f5a8b0",1983-12-18,NA,"999-63-1880","S99990120","X24011899X","Mrs.","Elaine","Santos",NA,"Miller","M","black","not_hispanic_or_latino","F","Philadelphia  Pennsylvania  US","771 South St","Philadelphia","Pennsylvania","19147"
"1ae90a13-1135-39a6-14aa-6f1c0c088325",1998-03-22,NA,"999-71-5099",NA,NA,NA,"Jordan","Perry",NA,NA,"S","white","not_hispanic_or_latino","M","Lancaster  Pennsylvania  US","118 Meadow Ridge Rd","Lancaster","Pennsylvania","17601"
"bf146d9a-3b15-2d02-e70b-f71762295021",1994-07-31,NA,"999-33-4018","S99944719","X18449002X","Mr.","Caleb","Nguyen",NA,NA,"M","asian","not_hispanic_or_latino","M","Allentown  Pennsylvania  US","301 7th St","Allentown","Pennsylvania","18102"
"9bde4a0c-e590-e7f7-194c-b58fb4f9f8e0",1992-10-05,NA,"999-58-9920","S99966208","X99110273X","Mrs.","Brenda","Kowalski",NA,"Nowak","M","white","not_hispanic_or_latino","F","Scranton  Pennsylvania  US","44 Mulberry St","Scranton","Pennsylvania","18503"
"b80d9475-dd60-aec6-9da2-a12e4f38db76",1996-01-17,2025-04-05,"999-90-6102","S99910455","X46011822X","Ms.","Hailey","Brennan",NA,NA,"S","white","unknown","F","State College  Pennsylvania  US","702 Park Ave","State College","Pennsylvania","16801"
"7cc8d55b-0df5-7782-3a92-48061ab4c2ef",1991-05-11,2025-03-17,"999-19-7740","S99933006","X60844710X","Mr.","Victor","Cohen","Jr.",NA,"M","white","unknown","M","York  Pennsylvania  US","610 Linden Rd","York","Pennsylvania","17401"
"8ab22f1b-04dd-3b30-7a31-2b5d3d99f6f3",1993-09-28,NA,"999-90-4314","S99920355","X28211313X","Mr.","Kieth","King",NA,NA,"M","white","not_hispanic_or_latino","M","Overfield  Pennsylvania  US","428 Strosin Fort Suite 49","Limerick","Pennsylvania","19468"
"0a3f9e12-9f5a-4e24-b8b6-04d5d7b2c6a1",1995-04-02,NA,"999-27-1184","S99978012","X11840277X","Mrs.","Nina","Walsh",NA,"Baker","M","white","not_hispanic_or_latino","F","Bethlehem  Pennsylvania  US","512 Spruce St","Bethlehem","Pennsylvania","18015"
"1b7a8c34-6f55-4c98-ae21-1d7f6f4b0a92",1999-12-09,NA,"999-06-3009","S99951188","X99006301X","Mr.","Owen","Patel",NA,NA,"S","asian","not_hispanic_or_latino","M","King of Prussia  Pennsylvania  US","230 Cedar Ave","King of Prussia","Pennsylvania","19406"
"2c4d1a77-9e63-4c2e-bd9d-03d7f0a81b2c",1984-02-19,NA,"999-61-4440","S99989003","X40194461X","Mrs.","Domenica","Fadel",NA,"Labadie","M","white","not_hispanic_or_latino","F","Wilkins  Pennsylvania  US","519 Ziemann Trail","Washington","Pennsylvania","15301"
"3d5e7f88-2a10-4f1e-9f07-7d7b10a1c3d4",1987-03-30,NA,"999-49-5162","S99961309","X17464073X","Mr.","Kelly","Turner",NA,NA,"M","white","not_hispanic_or_latino","M","Manor  Pennsylvania  US","158 Dickens Corner Suite 2","Manheim","Pennsylvania","17545"
"4e6f8a99-1b21-4d2f-8a17-2f7a3b5c6d70",1986-09-30,NA,"999-48-4898","S99965069","X54730783X","Mr.","Eduardo","Rojo",NA,NA,"S","black","hispanic_or_latino","M","Wesley  Saint Andrew Parish  DM","580 Bechtelar Divide","Manheim","Pennsylvania","17545"
"5f70ab10-2c32-4e3a-9b28-3a8b4c6d7e81",1989-01-01,NA,"999-19-7005","S99935110","X63153562X","Mr.","Emerson","Gutmann",NA,NA,"M","black","not_hispanic_or_latino","M","Lower Makefield  Pennsylvania  US","563 O'Hara Wynd","Pittsburgh","Pennsylvania","15106"
"6a81bc21-3d43-4f4b-a039-4b9c5d7e8f92",1998-05-24,NA,"999-74-7736",NA,NA,NA,"Zack","Purdy",NA,NA,NA,"white","not_hispanic_or_latino","M","Cranberry  Pennsylvania  US","1000 Vandervort Run","Washington","Pennsylvania","15301"
"7b92cd32-4e54-405c-b14a-5cab6e8f90a3",1990-03-11,NA,"999-86-7250","S99939389","X3970685X","Mrs.","Allyn","Kreiger",NA,"Bartolett","M","asian","unknown","F","Muhlenberg  Pennsylvania  US","372 Marks Heights Unit 20","Middle Paxton","Pennsylvania","17112"
"8c03de43-5f65-416d-c25b-6dbc7f90a1b4",1992-02-22,NA,"999-78-9189","S99980820","X9988931X","Mrs.","Domenica","Fadel",NA,"Labadie","M","white","unknown","F","Wilkins  Pennsylvania  US","519 Ziemann Trail","Washington","Pennsylvania","15301"
"9d14ef54-6a76-427e-d36c-7ecd80a1b2c5",1986-04-26,NA,"999-52-6401","S99961244","X01466520X","Mr.","Harvey","Stewart",NA,NA,"M","white","not_hispanic_or_latino","M","Johnstown  Pennsylvania  US","110 Lakeview Dr","Johnstown","Pennsylvania","15901"
"ae25f065-7b87-438f-e47d-8fde91b2c3d6",1991-09-26,NA,"999-11-2088","S99970019","X88208110X","Mrs.","Ruth","Hoffman",NA,"Kline","M","white","not_hispanic_or_latino","F","Altoona  Pennsylvania  US","830 Ridge Rd","Altoona","Pennsylvania","16601"
"bf360176-8c98-44a0-f58e-90ef02c3d4e7",1997-01-17,NA,"999-97-5681","S99919452","X44806182X","Ms.","Amiee","Kertzmann",NA,NA,NA,"white","not_hispanic_or_latino","F","Mifflintown  Pennsylvania  US","349 Hilpert Loaf","Cumberland","Pennsylvania","17070"
